Abbreviation,Full-Form,Type,Pronunciation
TLI,Terrain Line Interpolation,initialism,
TLID,TIGER/Line Record Identification Number,initialism,
TLM,Telemetry; Topographic Line Map,initialism,
TLSD,Tuvalu Lands and Survey Div.,initialism,
TLUI,Traditional Land Use Inventory (NSB GIS Div.),initialism,
TLV,Threshold limit value,initialism,
TM,Thematic Mapper (Landsat); Timber management,initialism,
TMAC,Technical Mapping Advisory Council (US),initialism,
TMC,The Map Collector (journal); Thinking Machines Corp.,initialism,
TMDL,Total maximum daily load,initialism,
TMI,Topographic Mapping Initiatives (NR Can),initialism,
TMLS,"Ministry of Lands, Survey and Natural Resources (Tonga); Terrestrial mobile LIDAR scanning",initialism,
TMS,Thematic Mapper Simulator; Topographic Mapping Service (Geomatics Canada); TIGER Mapping Service,initialism,
TN,Tennessee,initialism,
TNA,The National Archives (UK),initialism,
TNP,Terrain Navigator Pro (Maptech); Transportation Network Profile,initialism,
TNRIS,Texas Natural Resources Information System,initialism,
TNS,"TopoNet Server (Maps a la carte, Inc.)",initialism,
TOF,Time of flight,initialism,
TOMS,Total Ozone Mapping Spectrometer (NASA),initialism,
TOPOCOM,U.S. Army Topographic Command,initialism,
TOPS,Terrestrial Observation and Prediction System,initialism,
TOSCA,The Oxford Seminars in Cartography,acronym,
TP&W,Texas Parks and Wildlife,initialism,TP & W
TPC,Tactical Pilotage Chart; Traverse PC,initialism,
TPM,Theodolitprufmachine,initialism,
TPS,Thin-plate splines; Topcon Positioning Systems,initialism,
TQ,Topographic quadrangle,initialism,
TR,Township and Range (public land survey),initialism,
TRACE,Topographic Resources and Cost Evaluation (system),acronym,
TRB,Technical Review Board (U.S.),initialism,
TRE,Topaz Ranch Estates (Nevada),initialism,
TRF,Terrestrial Reference Frame,initialism,
TRI,Toxic Release Inventory (USEPA),initialism,
TRIM,"Terrain Resource Information Management (program, British Columbia)",acronym,
TRMM,Tropical Rainfall Measuring Mission,initialism,
TRS,Trimble Reference Station,initialism,
TRSC,Thailand Remote Sensing Center,initialism,
TS,Top secret,initialism,
TSA,Texas Surveyors Association,initialism,
TSARP,Tropical Storm Allison Recovery Project,initialism,
TSC1,Trimble System Controller,initialism,TSC 1
TSD,"Treatment, storage and disposal sites",initialism,
TSGS,"Topographic Section, General Staff (Gt. Brit.)",initialism,
TSI,Teqnical Services Inc.,initialism,
TSIS,Total Solar Irradiance Sensor,initialism,
TSOP,The Society for Organic Petrology,initialism,
TSPS,Texas Society of Professional Surveyors,initialism,
TSS2,TurboSurvey Software 2,initialism,
TT,TT Maps & Publications Private Ltd.,initialism,
TTD,Tactical terrain data,initialism,
TTPI,Trust Territory of the Pacific Islands,initialism,
TTY,Teletype,initialism,
TUG,Triuniversity Group,initialism,
TUNS,Technical University of Nova Scotia,acronym,TUNS
TVA,Tennessee Valley Authority,initialism,
TVP,Topological vector profile,initialism,
TWA,Time-weighted average,initialism,
TWRA,Tennessee Wildlife Resources Agency,initialism,
TWRI,Techniques of Water Resources Investigations (USGS),initialism,
TX,Texas,initialism,
TXRTK,Texas RTK Network,initialism,
TdA,"Teledeteccion Aplicada, S.A.",initialism,TdA
Tenn.,Tennessee,initialism,Tenn.
Tex.,Texas,initialism,Tex.
Tp.,Township,initialism,Tp.
Trafo,Transformator,initialism,Trafo
Trgf.,Tragfahigkeit = Carrying capacity,initialism,Trgf.
Twp.,Township,initialism,Twp.
TxDAPA,Texas Digital Aerial Photo Archive,initialism,TxDAPA
TxDOT,Texas Dept. of Transportation,initialism,TxDOT
TxMAP,Texas Mapping Project,initialism,TxMAP
U,Unclassified,initialism,U
U-2,A high altitude remote sensing aircraft,initialism,U-2
U-TDOA,Uplink Time Difference of Arrival (TruePosition),initialism,U-TDOA
U.K.,United Kingdom,initialism,U.K.
U.S.,United States of America,initialism,U.S.
U/R,Urban/rural,initialism,U/R
UA,Urban area (Canada); Urbanized area,initialism,UA
UAM,United Aerial Mapping; Urban Airshed Model (USEPA),initialism,
UART,Universal Asynchronous Receiver/Transmitter,initialism,U ART
UAS,Urban Area Studies,initialism,
UAV,Unmanned Aerial Vehicle,initialism,
UC,Univ. of California,initialism,
UCAID,Univ. Corp. for Advanced Internet Development,initialism,U CAID
UCB,"Univ. of California, Berkeley",initialism,
UCD,"Univ. of California, Davis",initialism,
UCDL,University of California Digital Library,initialism,
UCGIS,Univ. Consortium for GIS,initialism,
UCLGES,Unified Cartographic Line Graph Encoding System,initialism,
UCLS,Utah Council of Land Surveyors,initialism,
UCPTE,Union for the Coordination of the Production and Transport of Electric Power,initialism,
UCS,Uniform Color Space,initialism,
UCSB,"Univ. of California, Santa Barbara",initialism,
UDA,User data area,initialism,
UDB,Universal Data Base,initialism,
UDC,Universal Decimal Classification,initialism,
UDF,Universal Data Format,initialism,
UDNR,Utah Dept. of Natural Resources,initialism,
UDOGM,"Utah Division of Oil, Gas and Mining",initialism,
UDP,User Datagram Protocol,initialism,
UDS,Urban Data Solutions,initialism,
UDSL,Utah Division of State Lands,initialism,
UDWR,Utah Division of Water Resources,initialism,
UE,Useful elevation,initialism,
UGB,Urban growth boundary,initialism,
UGC,Utility Graphics Consultants,initialism,
UGID,Universal Geographic Identity,initialism,
UGKK SR,"Urad geodezie, kartografie e katastra Slovenskej republiky",initialism,UGKK SR
UGMS,Utah Geological and Mineral Survey,initialism,
UGS,Utah Geological Survey,initialism,
UGSMD,Uganda Geological Survey and Mines Dept.,initialism,
UHF,Ultra-high frequency,initialism,
UHGP,"Upland Habitat Goals Project (San Francisco Bay Area, California)",initialism,
UHMS,Urban Hydrology Monitoring System,initialism,
UID,Unique identifier; User identification,initialism,
UK,United Kingdom,initialism,
UKMO,United Kingdom Meteorological Office,initialism,
ULCC,Utility Location and Coordination Council,initialism,
ULSD,Uganda Dept. of Lands and Surveys,initialism,
UMAC,Upper Midwest Aerospace Consortium,initialism,
UML,Unified Modeling Language,initialism,
UMS,Universal Map Sharing (Traverse PC),initialism,
UN,United Nations,initialism,
UNAM,Universidad Nacional de Mexico,initialism,
UNCLA,Unclassified,initialism,
UNDP,United Nations Development Program,initialism,
UNECA,United Nations Economic Commission for Africa,acronym,
UNEP,United Nations Environment Programme,initialism,
UNESCO,"United Nations Educational, Scientific and Cultural Organization",acronym,
UNGEGN,United Nations Group of Experts on Geographical Names,initialism,
UNGIWG,United Nations Geographical Information Working Group,initialism,
UNIMACE,Universal Automated Mapping Compilation Equipment,initialism,UNI MACE
UNR,"Univ. of Nevada, Reno",initialism,
UP,Urban planning,initialism,
UPADI,Union Panamerica de Asociaciones de Ingenieros,initialism,
UPC,Universal Product Code,initialism,
UPPS,Universal Projection Plotting System,initialism,
UPRN,Unique Property Reference Number,initialism,
UPRR,Union Pacific Railroad,initialism,
UPS,Universal polar stereographic,initialism,
UQAM,Universite du Quebec a Montreal,initialism,
UR,Universal Rectifier,initialism,
URISA,Urban and Regional Information Systems Assn.,initialism,
URL,Universal Resource Locator; Uniform Resource Locator,initialism,
URPI,Unit for Retail Planning Information Ltd.,initialism,
URS,Unrestricted random sample,initialism,
URUID,Unrectified image data,initialism,U RUID
USA,United States of America; United States Army,initialism,
USACE,U.S. Army Corps of Engineers,initialism,U SACE
USACERL,U.S. Army Construction Engineering Research Laboratories,initialism,
USAETL,United States Army Engineer Topographic Laboratories,initialism,
USAF,United States Air Force,initialism,
USAP,United States Antarctic Program,initialism,
USARP,United States Antarctic Research Program,initialism,
USB,Underwriters' Survey Bureau; Unified S-Band,initialism,
USBC,United States Bureau of the Census,initialism,
USC,Unified soil classification,initialism,
USC&GS,United States Coast and Geodetic Survey,initialism,USC & CS
USCE,United States Army Corps of Engineers,initialism,
USCG,United States Coast Guard,initialism,
USCS,United States Customary System,initialism,
USD,Univ. of South Dakota,initialism,
USDA,United States Dept. of Agriculture,initialism,
USDC,United States Dept. of Commerce,initialism,
USDI,United States Dept. of the Interior,initialism,
USDMA,United States Defense Mapping Agency,initialism,
USDOT,U.S. Dept. of Transportation,initialism,
USEPA,United States Environmental Protection Agency,initialism,
USFS,United States Forest Service,initialism,
USFWS,United States Fish and Wildlife Service,initialism,
USGCRP,U.S. Global Change Research Program,initialism,
USGIF,United States Geospatial Intelligence Foundation,initialism,
USGK,Utstredni Sprava Geodezie a Kartografie (Czechoslovakia),initialism,
USGPO,United States Government Printing Office,initialism,
USGS,United States Geological Survey,initialism,
USGS-MP,"United States Geological Survey, Menlo Park",initialism,USGS - MP
USLS,United States Lake Survey,initialism,
USMC,United States Marine Corps,initialism,
USN,United States Navy,initialism,
USNBS,United States National Biological Survey,initialism,
USNC-ICA,United States National Committee for the ICA,initialism,USNC - ICA
USNCHC,United States National Committee on Scientific Hydrology,initialism,
USNG,US National Grid,initialism,
USNO,United States Naval Observatory,initialism,
USNOS,United States National Ocean Service (or Survey),initialism,
USPLSS,U.S. Public Land Survey System,initialism,
USPS,United States Postal Service,initialism,
USR,Universal Space Rectangular (coordinate system),initialism,
USSCS,United States Soil Conservation Service,initialism,
UST,Underground storage tank,initialism,
UT,Unit terminator; Universal Time; Unorganized territory; Utah,initialism,
UTA,University of Texas at Arlington,initialism,
UTC,Universal Time Coordinated; Urban Traffic Control System (Siemans),initialism,
UTM,Universal transverse Mercator,initialism,
UTMS,Universal Mobile Telecommunications Systems,initialism,
UUG,Utstredni Ustav Geologicky,initialism,
UURI,Univ. of Utah Research Inst.,initialism,
UV,Ultraviolet; Unit value,initialism,
UVMap,Urban VMap,initialism,UV Map
UW,Univ. of Washington,initialism,
UWCL,Univ. of Wisconsin Cartography Laboratory (Madison),initialism,
UWM,"Univ. of Wisconsin, Madison",initialism,
Univ.,University,initialism,
V,Volt,initialism,
V.P.,Vertical pipe or stand pipe,initialism,V . P
V/H,Vertical over height ratio,initialism,
VA,Visual accumulation; Virginia,initialism,
VABM,Vertical angle elevation bench mark,initialism,
VACP,Virtual active control point,initialism,
VAP,Valley Air Photos (Firm),initialism,
VARIS,Virginia Resources Information System,acronym,
VAS,Virginia Assn. of Surveyors,initialism,
VBA,Visual Basic for Applications,initialism,
VCGI,Vermont Center for Geographic Information,initialism,
VCR,Video cassette recorder,initialism,
VDMR,Virginia Div. of Mineral Resources,initialism,
VDOT,Virginia Dept. of Transportation,initialism,V DOT
VDSL,Very-high speed Digital Subscriber Line,initialism,
VDT,Video display terminal,initialism,
VDU,Video display unit,initialism,
VEDIS,Vallejo [Calif.] Economic Development Information System,acronym,
VEN'D,Brick veneered building,initialism,VEN D
VFC,Vector Function Chainer,initialism,
VFR,Visual Flight Rules; Vector Relational Format,initialism,
VGA,Video Graphics Array; Video Graphics Adaptor,initialism,
VGI,Volunteered geographic information,initialism,
VGS,Vermont Geological Survey,initialism,
VHB,"Vanasse Hangen Brustlin, Inc.",initialism,
VHF,Very high frequency,initialism,
VHP,Volcano Hazards Program (USGS),initialism,
VHRR,Very high resolution radiometer,initialism,
VI,Virgin Islands,initialism,
VIAF,Virtual International Authority File,initialism,
VICAR,Video Information Communication and Retrieval (JPL software),acronym,VICAR
VICMAP,Victoria Dept. of Crown Lands and Survey,acronym,VIC MAP 
VIIRS,Visible Infrared Imager Radiometer Suite,acronym,VIIRS
VIMSARS,Video image map storage and retrieval system,initialism,VIM SARS
VISG,Visual Information Services Group,initialism,
VISION,"Visual Information System Integrating our Neighborhoods (Columbus, Ohio)",acronym,
VITD,VPF Interim Terrain Data,initialism,
VITec,Visual Information Technologies Inc.,initialism,VITec
VLBI,Very long baseline interferometric (or interferometry),initialism,
VLC,Volcano,initialism,
VLS,"Virtual Learning Systems, Inc.",initialism,
VLSI,Very large scale integration,initialism,
VML,Vector Markup Language,initialism,
VMR,"Vertical Mapping Resources, Inc.",initialism,
VMS,Voyage Management Sytem,initialism,
VMap,Vector Smart Map,initialism,V Map
VNIR,Visual and near-infrared,initialism,
VNP,Voyageurs National Park,initialism,
VOC,Verenigde Oostindische Compagnie,initialism,
VP,Vector program,initialism,
VPASS,Video Processor and Sync Separator,initialism,
VPF,Vector Product Format,initialism,
VPF/PS,Vector Product Format/Production System (Intergraph Federal),initialism,VPF / PS
VPFPS,Vector Product Format Production System (Intergraph Federal),initialism,
VPN,Virtual private network,initialism,
VRA,Visual Resources Assn.,initialism,
VRML,Virtual Reality Mock-up (or Mark-up or Modeling) Language,initialism,
VRP,Vector-to-raster processor,initialism,
VRS,Virtual Reference Station (Trimble),initialism,
VSEGEI,Vsesoiuznnoi Nauchno-Issledovatel'skii Geologicheskii Institut (USSR),initialism,
VSLS,Vermont Society of Land Surveyors,initialism,
VT,Vermont,initialism,
VTA,"Valley Transportation Authority (San Jose, Calif.)",initialism,
VTD,Voting district,initialism,
VTIR,Visible and Thermal Infrared Radiometer,initialism,
VTM,Vegetation Type Map,initialism,
VTR,Video tape recording,initialism,
VTRAK,Vector-to-raster conversion software,initialism,V TRAK
VVK,Verwaltung Vermessungs und Kartenwesen,initialism,
VVT,Value Valid Table,initialism,
Va.,Virginia,initialism,Va
Vbf,Verschriebebahnhof,initialism,Vbf
VegCAMP,Vegetation Classification and Mapping Program (California Dept. of Fish and Game),acronym,VeG camp
ViSC,Visualization in Scientific Computing,initialism,
Vobf,Vorbahnhof,initialism,Vobf
Vt.,Vermont,initialism,Vt.
Vtrans,Vermont Agency of Transportation,initialism,V trans
W,Westen,initialism,W
W. Va,West Virginia,initialism,W. Va
W.D.M.C.,War Dept. Map Collection (U.S.),initialism,W.D.M.C.
W.G.,Wired glass skylight,initialism,W.G.
W.H.,"Wirtshaus = public house, inn; William Harrison",initialism,W.H.
W.T.,Water tank; Washington Territory,initialism,W.T.
W3C,World Wide Web Consortium,initialism,W3C
WA,Washington (State),initialism,
WAAS,Wide area augmentation system (or sites),acronym,
WAC,World Aeronautical Chart,acronym,
WACMA,Western Australia Central Map Agency,acronym,
